,review_id,compound_unclean
620,R7FA2S2WZXHJZ,0.9313
621,R3MS6XCTDQ7TK6,-0.5267
622,R25AEIQOP6BB7P,0.9246
623,R2SV80B0KFDOOL,-0.2023
624,RNQKFQI93K3T5,0.743
625,RKFGPOTYPMMAY,0.6124
626,R1KXMZ0AOEDSQ1,-0.484
627,R31UVBFDFJUPVM,0.9375
628,R1HUHZ4LPUFCKB,0.8652
629,R27H2VVVQ05RA3,-0.4767
630,R3KWKUM95ZIOCH,0.7777
631,R28JH775JUNIN0,0.1027
632,R1H0L2K5JDURIT,0.2404
633,R17J83RPXLM5QX,-0.3252
634,R2GRF9L739XZSA,0.5093
635,R2JZ3WH814K1X1,0.1027
636,R1RE14X0O17W03,0.0
637,R2EBG8Z8BIG2S8,0.5187
638,R1O9JZT0SCK2RM,0.923
639,R25TN3V6W276K4,0.8045
640,R112TXSCHBN0UK,-0.2023
641,RO50NAC801KAD,0.6696
642,R2BX2P6PYNCOAG,-0.5994
643,R25GYNC1L2253K,0.0
644,R3IG46NK1UEBHP,-0.5695
645,R1PTRB1IQMCT5W,-0.6222
646,RN98UQYU1W6VG,0.3392
647,R14KFYLTL09W8D,0.4949
648,R1P9J9HYTBXW8H,0.7777
649,R3QHDRF7901LVO,0.0
650,R15YJ9F8ASYTDQ,0.7405
651,R1L55OY9R091PE,0.5642
652,R1HTYPGHGST6EA,0.8673
653,R1NHNP6F6NPM9A,0.6072
654,R3Q3TZ4X7UY8YV,0.9787
655,RVH3DC3GNUPDU,0.7003
656,R1JAPPW9QOF6QK,0.8505
657,R26PPNZ104482,0.5386
658,R3K22J6XS6HTEM,0.6808
659,R3C3R8VNFE2IO5,0.8555
660,R2OGIZUC2S11JR,0.316
661,R3HZ7FZEG8CUU6,0.8684
662,REL5O8MTRBJF7,-0.2263
