,review_id,compound_unclean
431,R2GD56KGWSY7FB,0.6249
432,R3NYFF8JP2UEWJ,0.6114
433,R3GBJVJZ6PTIE8,0.9011
434,R2W8NBUN2KKP5R,0.6369
435,R17NI3LSCEBVV3,0.6124
436,R38LP8HT6ERSZR,0.4404
437,R1CXGPYL26892H,0.9719
438,R27LTTRQJ3BV6F,0.4926
439,RPHHNURKYXVOE,0.6249
440,R3B49K40GLUU4Q,0.7345
441,R2Y705IL8SGXTY,0.6115
442,RLOWX194NW2CT,0.0433
443,R2LQMP3CL04QK3,0.9538
444,R1HBEGMREIUJ1S,0.0
445,R3EU3DKFZMNNCO,-0.5972
446,R250RALSNQNLYX,0.3246
447,R1B8THRI9HVXSG,0.7163
448,R1IP82KZJT56JA,0.9934
449,RB8XMOZ83DXWX,0.6794
450,R2MWZDCZ8YWM3I,0.3987
451,RUFR0CXV1IJKQ,0.4404
452,RNWZI0MP6E45K,0.6879
453,RJNS0DBRVEP,0.9357
454,RCSEI3UIDDIIG,-0.7934
455,R2BB5FZMLB2QIG,0.0
456,R27IUG36SCB8CY,0.0
457,RCLO9ZFFYIUF6,0.6696
458,R2GHPIYAG7KDM0,-0.8572
459,R3B9QLTG8QUYJJ,0.9961
460,R33W8YOTDZXE8Q,0.1901
461,R1XW9ZY9FPWSH5,0.854
462,R2SJUL81OYMVHM,0.7906
463,R3DNLY0PHATOAZ,-0.34
464,R2SMUASO5R0H4D,0.7783
465,R1D7G6VQ98FT5D,0.7184
466,R3S98HNPWQHF8M,0.717
467,RBHGJ2M2LKIPI,0.5483
468,R114HQIEBBAOV9,0.8908
469,RUS78OBC4S1PH,0.0
470,R31WIE2F87KPV3,0.7845
471,R30Y39WVJWTZ3Y,0.0
472,R1A5EKAJZXKV85,0.6588
473,R2YPBIBRTDYB2O,0.4201
474,R1LY0GB03L7RP9,0.8798
475,R2GO6O2J48J4LW,0.6689
476,R25GL8EX6EVDC3,0.6369
477,R158JQ98BE76YB,0.5707
478,R14TLZM2QF5EJB,0.9282
479,R139BNBKQGLLC8,0.0
480,R2LZRK0M3BNLEX,0.9987
481,R1A3F10PH3U5HA,0.6369
482,R3H2WQLWOMNEF9,0.848
483,R20DVIESXJLGQR,0.3182
484,R1H8HZ1Y3XD9MA,0.9176
485,R1TE7APWMZQMCB,0.6588
486,RP4WEMW9D3B0X,0.0
487,R1GKGILJXCVOCS,0.431
488,R377O9TE0SMJZW,0.2023
489,R24ZAJ3F1QL6MX,0.892
490,R1VA7GB2ABF72T,0.4927
491,R1CJTHP6OMO5IH,0.4215
492,R2CRHGAJOHEU1V,0.4588
493,R2ME7R7RC7ZVLY,0.9681
